window,name,n_trades,win_rate,roi_pct,max_dd_pct,calmar,status,pool_size,pool_assets
W01,Late 2023 Fed Higher-for-Longe,0,0.0,0.0,0.0,0.0,SKIP,0,
W02,Q4 2023 Year-End Soft Landing ,43,58.1,22.2,3.5,6.36,PASS,2,"HK50,CHINAH"
W03,Q1 2024 Global Disinflation Su,66,59.1,35.2,3.25,10.85,PASS,8,"JP225,GBPNZD,GBPAUD,CHINAH,HK50,AUDJPY,USDCNH,AUDCHF"
W04,Early 2024 Tech & Index Expans,80,50.0,30.0,5.0,6.0,PROFIT,12,"NZDCHF,GBPNZD,CHINAH,USDJPY,NZDSGD,CHFJPY,HK50,EURNZD,AUDJPY,USDZAR,USDCNH,GBPAUD"
W05,Spring 2024 Geopolitical Energ,112,51.8,45.5,5.0,9.1,PROFIT,12,"AUDNZD,CHINAH,HK50,GBPNZD,NZDSGD,USDHKD,CHFJPY,EURGBP,AUDUSD,NZDCAD,GER30,GER40"
W06,ECB Rate Cut Pivot & Dollar St,196,48.5,68.2,17.0,4.01,PROFIT,12,"AUDUSD,AUDNZD,EURGBP,USDCAD,USDHKD,CHINAH,UK100,JP225,EURCHF,USDZAR,NZDJPY,NZDSGD"
W07,Mid-2024 High-Beta Equity Dist,89,43.8,23.8,9.25,2.57,PROFIT,12,"SP500,EURNOK,GBPUSD,USDCNH,USDHUF,UK100,STOXX50,EURJPY,AUDUSD,USDSEK,EURGBP,CADJPY"
W08,August 2024 Global Carry Trade,31,41.9,7.2,3.75,1.93,PASS,12,"STOXX50,EURNOK,AUDUSD,UK100,NZDUSD,EURJPY,AUDCNH,USDSEK,EURGBP,AUDNZD,AU200,GBPCAD"
W09,Fed 50bps Jumbo Rate Cut Ignit,91,60.4,50.7,3.0,16.92,PASS,12,"EURNOK,AUDUSD,EURJPY,AU200,EURCAD,NZDUSD,USDSEK,GBPCAD,GER30,GER40,NETH25,AUDNZD"
W10,US Presidential Election Mega ,101,56.4,49.2,10.0,4.92,PROFIT,12,"STOXX50,CADCHF,ZINC,EURNOK,EURJPY,GBPCAD,CADJPY,AU200,AUDUSD,AUDNZD,UKBRENT,EURGBP"
W11,Year-End Cross-Currency Flow R,132,56.8,65.2,4.5,14.5,PASS,12,"ZINC,ALUMINIUM,AU200,USDJPY,AUDUSD,USWTI,AUDJPY,EURNOK,CADCHF,EURCHF,USDTHB,NETH25"
W12,Post-Inauguration Trade Policy,134,63.4,81.8,6.0,13.62,PROFIT,12,"ZINC,NETH25,STOXX50,AU200,EURSGD,EURCHF,UK100,NZDSGD,EURNOK,USDNOK,AUDJPY,DJ30"
W13,Spring 2025 Precious Metals Al,93,47.3,30.5,3.5,8.71,PASS,12,"ZARJPY,SGDJPY,EURSGD,EURNOK,NZDSGD,GER30,AU200,NETH25,USDNOK,UK100,USDCAD,FR40"
W14,Late-Cycle Yield Curve Steepen,142,66.2,93.5,6.0,15.58,PROFIT,12,"EURSGD,LEAD,SGDJPY,GBPAUD,EURNOK,USDCNH,SWISS20,GBPCAD,GER30,NZDSGD,AU200,GER40"
W15,European Macro Slowdown & CNH ,170,50.0,63.7,4.0,15.94,PASS,12,"CHFSGD,XAGUSD,AU200,GBPCAD,GER40,GER30,USDCNH,SGDJPY,GBPNOK,NZDCAD,NZDJPY,NZDSGD"
W16,Late-Summer Commodity Volatili,113,65.5,73.0,4.75,15.37,PROFIT,12,"CHFSGD,GAS,GBPCAD,EURNOK,GER40,USDCNH,GER30,AU200,EURHKD,SGDJPY,EURCAD,NZDJPY"
W17,Autumn 2025 Global Liquidity I,134,51.5,53.8,4.25,12.65,PASS,12,"CHFSGD,USDHKD,EURNOK,USDCNH,AU200,EURUSD,GER40,XAUAUD,CHFJPY,GBPUSD,GER30,EURCAD"
W18,Q4 2025 Industrial Metals & In,101,53.5,44.0,3.0,14.67,PASS,12,"CHFSGD,XPTUSD,EURUSD,AU200,GER40,EURNOK,GBPCAD,AUDCHF,GBPUSD,GAUCNH,GER30,CADCHF"
W19,Q1 2026 New Year Cross-Asset R,118,40.7,25.0,6.0,4.17,PROFIT,12,"CHFSGD,XPTUSD,GBPNOK,USDMXN,GER40,NZDUSD,CADCHF,AU200,EURCHF,EURMXN,AUDCHF,GER30"
W20,March 2026 Modern Microstructu,82,57.3,41.2,5.0,8.25,PROFIT,12,"XPTUSD,XAUCNH,ALUMINIUM,EURCHF,NZDJPY,GAUUSD,EURNOK,AU200,GBPNOK,CNHJPY,NZDCHF,USDSEK"
