window_id,window,name,trades,win_rate,net_r,pnl_usd,roi_pct,max_dd_pct,status,failures
1,W01,Late 2023 Fed Higher-for-Longer Pause,17,47.05882352941176,-4.8702000000000005,-146.7715,-2.93543,4.533914141612818,FAIL,ROI (-2.94%) < Target (+10.00%); Net R (-4.87R) < Target (+2.50R)
2,W02,Q4 2023 Year-End Soft Landing Rally,39,53.84615384615385,-5.395200000000001,-234.9737,-4.699474,4.699473999999955,FAIL,ROI (-4.70%) < Target (+10.00%); Net R (-5.40R) < Target (+2.50R)
3,W03,Q1 2024 Global Disinflation Surge,22,50.0,-4.1461,-87.76190000000004,-1.7552380000000007,4.530052917950305,FAIL,ROI (-1.76%) < Target (+10.00%); Net R (-4.15R) < Target (+2.50R)
4,W04,Early 2024 Tech & Index Expansion,27,55.55555555555556,-1.2456999999999996,67.35739999999993,1.3471479999999985,4.53215341111455,FAIL,ROI (+1.35%) < Target (+10.00%); Net R (-1.25R) < Target (+2.50R)
5,W05,Spring 2024 Geopolitical Energy Spike,40,65.0,1.0914,-63.835500000000046,-1.276710000000001,3.9568130845429246,FAIL,ROI (-1.28%) < Target (+10.00%); Net R (+1.09R) < Target (+2.50R)
6,W06,ECB Rate Cut Pivot & Dollar Strength,22,45.45454545454545,-7.361700000000002,-176.8507,-3.537013999999999,4.486608141853671,FAIL,ROI (-3.54%) < Target (+10.00%); Net R (-7.36R) < Target (+2.50R)
7,W07,Mid-2024 High-Beta Equity Distribution,39,48.717948717948715,-6.504000000000002,-219.36865,-4.387373,4.774535930540443,FAIL,ROI (-4.39%) < Target (+10.00%); Net R (-6.50R) < Target (+2.50R)
8,W08,August 2024 Global Carry Trade Flash Unwind,17,35.294117647058826,-7.4510000000000005,-231.42555000000002,-4.6285110000000005,4.62851099999998,FAIL,ROI (-4.63%) < Target (+10.00%); Win Rate (35.3%) < Target (40.0%); Net R (-7.45R) < Target (+2.50R)
9,W09,Fed 50bps Jumbo Rate Cut Ignition,43,62.7906976744186,-0.2695000000000001,136.02159999999998,2.7204319999999997,4.398326717158262,FAIL,ROI (+2.72%) < Target (+10.00%); Net R (-0.27R) < Target (+2.50R)
10,W10,US Presidential Election Mega Breakout,19,57.89473684210527,-4.2689,-109.65610000000004,-2.1931220000000007,4.4810865342452155,FAIL,ROI (-2.19%) < Target (+10.00%); Net R (-4.27R) < Target (+2.50R)
11,W11,Year-End Cross-Currency Flow Rebalancing,34,47.05882352941176,-7.564399999999998,-240.78890000000004,-4.815778000000001,4.815778000000027,FAIL,ROI (-4.82%) < Target (+10.00%); Net R (-7.56R) < Target (+2.50R)
12,W12,Post-Inauguration Trade Policy Realignment,25,60.0,-0.38690000000000024,77.72445000000002,1.5544890000000005,4.521989386097404,FAIL,ROI (+1.55%) < Target (+10.00%); Net R (-0.39R) < Target (+2.50R)
13,W13,Spring 2025 Precious Metals All-Time High,20,55.00000000000001,-4.289899999999999,-80.8548,-1.6170959999999999,4.430276814709868,FAIL,ROI (-1.62%) < Target (+10.00%); Net R (-4.29R) < Target (+2.50R)
14,W14,Late-Cycle Yield Curve Steepening,25,48.0,-6.905799999999999,-230.12765000000002,-4.602553,4.626777798439157,FAIL,ROI (-4.60%) < Target (+10.00%); Net R (-6.91R) < Target (+2.50R)
15,W15,European Macro Slowdown & CNH Divergence,12,50.0,-3.6453999999999995,-24.262050000000016,-0.4852410000000003,4.35148777216615,FAIL,ROI (-0.49%) < Target (+10.00%); Trades (12) < Target (15); Net R (-3.65R) < Target (+2.50R)
16,W16,Late-Summer Commodity Volatility Expansion,29,51.724137931034484,-2.1391,2.8741999999999948,0.057483999999999896,4.419383063473997,FAIL,ROI (+0.06%) < Target (+10.00%); Net R (-2.14R) < Target (+2.50R)
17,W17,Autumn 2025 Global Liquidity Injection,34,47.05882352941176,-3.3883000000000005,-223.81565000000003,-4.476313,4.701074562654732,FAIL,ROI (-4.48%) < Target (+10.00%); Net R (-3.39R) < Target (+2.50R)
18,W18,Q4 2025 Industrial Metals & Indices Momentum,18,50.0,-4.574300000000001,-148.75575000000003,-2.9751150000000006,4.576699672693536,FAIL,ROI (-2.98%) < Target (+10.00%); Net R (-4.57R) < Target (+2.50R)
19,W19,Q1 2026 New Year Cross-Asset Range Shift,19,47.368421052631575,-3.8771,-83.8212,-1.676424,4.434459824301622,FAIL,ROI (-1.68%) < Target (+10.00%); Net R (-3.88R) < Target (+2.50R)
20,W20,March 2026 Modern Microstructure Shock,76,61.8421052631579,6.371,100.45179999999999,2.0090359999999996,4.309050366307899,FAIL,ROI (+2.01%) < Target (+10.00%)
